kind,depth,fold,city,n,prevalence,AP,roc_auc,F1,precision,change_acc,nochange_acc,accuracy
m1,1,1,aguasclaras,247275,0.016403,0.124892,0.749701,0.163138,0.132281,0.212771,0.976725,0.964194
m1,1,2,bercy,142177,0.007357,0.041447,0.778675,0.110767,0.086513,0.153920,0.987954,0.981818
m1,1,4,bordeaux,238193,0.009992,0.027292,0.806748,0.068240,0.036392,0.546639,0.853914,0.850844
m1,1,0,nantes,303232,0.011374,0.272116,0.943179,0.336861,0.306613,0.373732,0.990276,0.983264
m1,1,2,paris,159093,0.002879,0.027873,0.905003,0.076020,0.051089,0.148472,0.992038,0.989610
m1,1,2,rennes,190825,0.025846,0.455660,0.940039,0.481886,0.485104,0.478710,0.986519,0.973394
m1,1,1,saclay_e,439624,0.009886,0.011371,0.580474,0.025804,0.013201,0.569949,0.574607,0.574561
m1,1,3,abudhabi,627215,0.037614,0.072623,0.673697,0.126035,0.085186,0.242158,0.898360,0.873678
m1,1,0,cupertino,799799,0.023673,0.320145,0.959120,0.419742,0.321523,0.604363,0.969077,0.960443
m1,1,1,pisa,557168,0.016386,0.028996,0.647912,0.063731,0.037309,0.218401,0.906116,0.894847
m1,1,4,beihai,696343,0.024870,0.129479,0.836532,0.186924,0.147269,0.255803,0.962224,0.944655
m1,1,3,hongkong,375300,0.035649,0.151845,0.764206,0.233248,0.216625,0.252635,0.966227,0.940789
m1,1,3,beirut,1262542,0.026865,0.172510,0.864541,0.272177,0.201905,0.417477,0.954443,0.940018
m1,1,0,mumbai,477906,0.025620,0.150979,0.831165,0.227083,0.161566,0.381983,0.947879,0.933380
m1,2,1,aguasclaras,247275,0.016403,0.075679,0.751913,0.157170,0.137765,0.182939,0.980906,0.967817
m1,2,2,bercy,142177,0.007357,0.091333,0.838499,0.183294,0.183031,0.183556,0.993928,0.987966
m1,2,4,bordeaux,238193,0.009992,0.084764,0.857847,0.178291,0.144153,0.233613,0.986002,0.978484
m1,2,0,nantes,303232,0.011374,0.171845,0.935493,0.271443,0.185711,0.504204,0.974565,0.969215
m1,2,2,paris,159093,0.002879,0.034146,0.947994,0.079275,0.042638,0.563319,0.963482,0.962330
m1,2,2,rennes,190825,0.025846,0.451706,0.960192,0.502395,0.440373,0.584753,0.980284,0.970062
m1,2,1,saclay_e,439624,0.009886,0.025185,0.701613,0.066689,0.051852,0.093419,0.982944,0.974151
m1,2,3,abudhabi,627215,0.037614,0.060649,0.635008,0.111717,0.070528,0.268566,0.861667,0.839358
m1,2,0,cupertino,799799,0.023673,0.395421,0.960526,0.458023,0.383956,0.567498,0.977922,0.968206
m1,2,1,pisa,557168,0.016386,0.041653,0.725676,0.094889,0.058831,0.245126,0.934671,0.923371
m1,2,4,beihai,696343,0.024870,0.151729,0.869353,0.241213,0.178128,0.373484,0.956050,0.941562
m1,2,3,hongkong,375300,0.035649,0.146826,0.766717,0.223495,0.203396,0.248001,0.964094,0.938566
m1,2,3,beirut,1262542,0.026865,0.272560,0.873676,0.333442,0.299355,0.376290,0.975687,0.959584
m1,2,0,mumbai,477906,0.025620,0.259270,0.872373,0.331559,0.287383,0.391784,0.974456,0.959528
m1,3,1,aguasclaras,247275,0.016403,0.102419,0.768090,0.187172,0.168307,0.210799,0.982629,0.969969
m1,3,2,bercy,142177,0.007357,0.129668,0.819331,0.216836,0.201145,0.235182,0.993077,0.987501
m1,3,4,bordeaux,238193,0.009992,0.080385,0.855497,0.153519,0.142192,0.166807,0.989844,0.981620
m1,3,0,nantes,303232,0.011374,0.204531,0.937396,0.292519,0.238078,0.379240,0.986037,0.979135
m1,3,2,paris,159093,0.002879,0.030681,0.943194,0.075004,0.040188,0.561135,0.961307,0.960155
m1,3,2,rennes,190825,0.025846,0.457493,0.960725,0.505005,0.451566,0.572790,0.981543,0.970979
m1,3,1,saclay_e,439624,0.009886,0.023174,0.687031,0.065228,0.046569,0.108836,0.977752,0.969162
m1,3,3,abudhabi,627215,0.037614,0.067861,0.653046,0.123512,0.081064,0.259283,0.885124,0.861583
m1,3,0,cupertino,799799,0.023673,0.421277,0.960361,0.465770,0.401076,0.555350,0.979892,0.969841
m1,3,1,pisa,557168,0.016386,0.049614,0.729519,0.114080,0.075374,0.234502,0.952076,0.940318
m1,3,4,beihai,696343,0.024870,0.263787,0.888860,0.333453,0.300761,0.374119,0.977817,0.962803
m1,3,3,hongkong,375300,0.035649,0.169651,0.789476,0.255259,0.207359,0.331938,0.953095,0.930951
m1,3,3,beirut,1262542,0.026865,0.223700,0.879567,0.312345,0.256714,0.398756,0.968127,0.952831
m1,3,0,mumbai,477906,0.025620,0.222906,0.851254,0.268557,0.221439,0.341147,0.968462,0.952390
m2,1,1,aguasclaras,247275,0.016403,0.069277,0.712863,0.125876,0.110511,0.146203,0.980376,0.966693
m2,1,2,bercy,142177,0.007357,0.049102,0.769444,0.111569,0.083452,0.168260,0.986304,0.980285
m2,1,4,bordeaux,238193,0.009992,0.024719,0.783859,0.057803,0.030929,0.440756,0.860623,0.856427
m2,1,0,nantes,303232,0.011374,0.207204,0.932508,0.283715,0.218151,0.405625,0.983275,0.976704
m2,1,2,paris,159093,0.002879,0.032477,0.931403,0.083932,0.048040,0.331878,0.981013,0.979144
m2,1,2,rennes,190825,0.025846,0.409573,0.941158,0.466119,0.386442,0.587186,0.975265,0.965235
m2,1,1,saclay_e,439624,0.009886,0.013793,0.610747,0.027004,0.015205,0.120571,0.922029,0.914106
m2,1,3,abudhabi,627215,0.037614,0.074314,0.673896,0.133162,0.089903,0.256655,0.898455,0.874314
m2,1,0,cupertino,799799,0.023673,0.332438,0.957125,0.412249,0.315052,0.596176,0.968572,0.959756
m2,1,1,pisa,557168,0.016386,0.026800,0.622223,0.055669,0.034029,0.152903,0.927691,0.914995
m2,1,4,beihai,696343,0.024870,0.095214,0.830611,0.170689,0.116223,0.321226,0.937702,0.922370
m2,1,3,hongkong,375300,0.035649,0.149787,0.790187,0.237188,0.187311,0.323268,0.948152,0.925875
m2,1,3,beirut,1262542,0.026865,0.167611,0.853121,0.226935,0.189356,0.283124,0.966539,0.948179
m2,1,0,mumbai,477906,0.025620,0.133984,0.790368,0.235486,0.182819,0.330774,0.961124,0.944975
m2,2,1,aguasclaras,247275,0.016403,0.082354,0.758333,0.139605,0.118374,0.170118,0.978871,0.965605
m2,2,2,bercy,142177,0.007357,0.067998,0.830855,0.145789,0.115730,0.196941,0.988847,0.983021
m2,2,4,bordeaux,238193,0.009992,0.043598,0.827230,0.090379,0.060451,0.178992,0.971923,0.964000
m2,2,0,nantes,303232,0.011374,0.135439,0.939262,0.226196,0.149561,0.463903,0.969651,0.963899
m2,2,2,paris,159093,0.002879,0.024401,0.926295,0.045487,0.023704,0.561135,0.933274,0.932203
m2,2,2,rennes,190825,0.025846,0.345579,0.958190,0.455053,0.359623,0.619424,0.970736,0.961656
m2,2,1,saclay_e,439624,0.009886,0.023276,0.665247,0.071712,0.059819,0.089508,0.985954,0.977092
m2,2,3,abudhabi,627215,0.037614,0.059646,0.633257,0.105812,0.067587,0.243557,0.868676,0.845163
m2,2,0,cupertino,799799,0.023673,0.303619,0.953230,0.377873,0.278699,0.586617,0.963187,0.954272
m2,2,1,pisa,557168,0.016386,0.035118,0.688877,0.079891,0.049416,0.208434,0.933204,0.921327
m2,2,4,beihai,696343,0.024870,0.138474,0.846809,0.207387,0.162007,0.288082,0.961996,0.945235
m2,2,3,hongkong,375300,0.035649,0.123069,0.792912,0.201252,0.135999,0.386875,0.909143,0.890525
m2,2,3,beirut,1262542,0.026865,0.138098,0.847465,0.205272,0.157615,0.294239,0.956586,0.938793
m2,2,0,mumbai,477906,0.025620,0.133494,0.843735,0.249171,0.182428,0.392927,0.953698,0.939331
m2,3,1,aguasclaras,247275,0.016403,0.084140,0.760863,0.152167,0.109510,0.249260,0.966199,0.954439
m2,3,2,bercy,142177,0.007357,0.062974,0.823745,0.124640,0.125000,0.124283,0.993552,0.987157
m2,3,4,bordeaux,238193,0.009992,0.047228,0.848577,0.097773,0.064400,0.202941,0.970243,0.962577
m2,3,0,nantes,303232,0.011374,0.130782,0.936776,0.222003,0.143487,0.490287,0.966329,0.960914
m2,3,2,paris,159093,0.002879,0.033651,0.943887,0.076781,0.044675,0.272926,0.983150,0.981105
m2,3,2,rennes,190825,0.025846,0.376805,0.957940,0.468008,0.373221,0.627332,0.972048,0.963139
m2,3,1,saclay_e,439624,0.009886,0.021404,0.668834,0.058397,0.051372,0.067648,0.987528,0.978434
m2,3,3,abudhabi,627215,0.037614,0.074205,0.672339,0.126872,0.079902,0.307816,0.861463,0.840638
m2,3,0,cupertino,799799,0.023673,0.271602,0.950376,0.353695,0.248403,0.613922,0.954959,0.946885
m2,3,1,pisa,557168,0.016386,0.042589,0.687528,0.099940,0.082271,0.127273,0.976348,0.962435
m2,3,4,beihai,696343,0.024870,0.174304,0.872490,0.251973,0.212368,0.309736,0.970702,0.954264
m2,3,3,hongkong,375300,0.035649,0.169472,0.798322,0.238060,0.162048,0.448389,0.914288,0.897679
m2,3,3,beirut,1262542,0.026865,0.258875,0.874205,0.281732,0.284644,0.278878,0.980652,0.961798
m2,3,0,mumbai,477906,0.025620,0.153091,0.839697,0.267728,0.194659,0.428618,0.953374,0.939930
